Ville,Date Vente,Marque,Modele,Type,annee,Num_serie,Conduite,Kilometrage,prix_propose,Adjuge,Qualite,Commentaires,devise
Chartres,200704,Venturi,260,APC,1991,CH021,,87000,,29000,OR+,Véhicule essai presse,Euros
Newport-Pagnell,20020511,Aston-Martin,Lagonda,Berline,1979,,,,,15680,OR+,,Euros
Fontainebleau,20030323,Aston-Martin,Lagonda,Berline,1979,,RHD,,,14000,REST-,,Euros
UK,20010726,Aston-Martin,Lagonda,Berline,1980,,,,,12653,OR+,,Euros
Buxton,20021204,Aston-Martin,Lagonda,Berline,1980,,,,,9760,OR+,,Euros
Buxton,20020410,Aston-Martin,Lagonda,Berline,1983,,,,,9900,OR+,,Euros
CH,20010305,Aston-Martin,Lagonda,Berline,1984,,,,,19513,OR+,,Euros
Newport-Pagnell,20010512,Aston-Martin,Lagonda,Berline,1984,,,,,24087,OR+,,Euros
Londres,20020910,Aston-Martin,Lagonda,Berline,1984,,,,,20800,OR+,,Euros
Buxton,20010926,Aston-Martin,Lagonda,Berline,1986,,,,,17837,OR+,,Euros
CH,20030310,Aston-Martin,Lagonda,Berline,1989,,LHD,,,77000,EX,,Euros
CH,20020311,Aston-Martin,Lagonda,Berline,1990,,,,,21760,OR+,,Euros
Londres,20020225,BMW,Z1,,1989,,,,,18980,OR+,,Euros
Paris,20020304,BMW,Z1,,1990,,,,,18500,OR+,,Euros
Monaco,20010521,De Tomaso,Pantera,GTS,1971,,,,,22105,REST,,Euros
CH,20010305,De Tomaso,Pantera,GTS,1972,,,,,18141,OR+,,Euros
Paris,20030616,De Tomaso,Pantera,GTS,1978,THPN 09054 ,,17500,,29485,EX,Frais inclus,Euros
ClassicEtRacing,200306,De Tomaso,Pantera,,1978,,,,,29400,,,Euros
Silverstone,19970726,Ferrari,212,INTER,1952,#0255EU ,,,,145000,,dark red/red ,Livre sterling
Nurburgring,19970809,Ferrari,250,Europa,,#0323EU ,,,,268250,,Coupé PininFarina ,DM
USA,19980000,Ferrari,250,GT Berlinetta Lusso,,#5251GT,,,,113000,,,Dollar US
USA,19980000,Ferrari,250,GT Berlinetta Lusso,,#5275GT,,,,120000,,,Dollar US
Silverstone,19970726,Ferrari,250,GT Berlinetta Lusso,,#5541GT ,,,,78000,,dark red/tan ,Livre sterling
Le Mans,20020921,Ferrari,250,GT Berlinetta Lusso,1964,,LHD,,,198000,REST+,,Euros
USA,20020118,Ferrari,250,GT Berlinetta Lusso,1961,#2549GT,LHD,,,943000,REST+,,Euros
Londres,20021202,Ferrari,250,GT Berlinetta Lusso,1964,#5251GT,LHD,,,147200,REST+,,Euros
CH,20021220,Ferrari,250,GT Berlinetta Lusso,1964,#5303GT,LHD,,,201280,OR+,,Euros
CH,20021220,Ferrari,250,GT Berlinetta Lusso,1964,#5367GT,LHD,,,363800,REST+,Modele 6 Carburateurs,Euros
USA,20011218,Ferrari,250,GT Berlinetta Lusso,1961,#2443GT,,,,955703,EX,Porte aluminium,Euros
Rockingham,20010507,Ferrari,250,GT Berlinetta Lusso,1964,,LHD,,,144217,OR+,,Euros
