Année;Semestre;Indice_prix
1960;S1;
1960;S2;
1961;S1;
1961;S2;
1962;S1;
1962;S2;
1963;S1;
1963;S2;
1964;S1;
1964;S2;
1965;S1;
1965;S2;
1966;S1;
1966;S2;
1967;S1;
1967;S2;
1968;S1;
1968;S2;
1969;S1;
1969;S2;
1970;S1;100
1970;S2;100
1971;S1;105,5
1971;S2;105,5
1972;S1;112
1972;S2;112
1973;S1;120,2
1973;S2;120,2
1974;S1;136,7
1974;S2;136,7
1975;S1;152,8
1975;S2;152,8
1976;S1;167,5
1976;S2;167,5
1977;S1;183,2
1977;S2;183,2
1978;S1;199,8
1978;S2;199,8
1979;S1;221,3
1979;S2;221,3
1980;S1;251,3
1980;S2;251,3
1981;S1;285
1981;S2;285
1982;S1;318,6
1982;S2;318,6
1983;S1;349,3
1983;S2;349,3
1984;S1;375,2
1984;S2;375,2
1985;S1;397,1
1985;S2;397,1
1986;S1;407,6
1986;S2;407,6
1987;S1;420,4
1987;S2;420,4
1988;S1;431,7
1988;S2;431,7
1989;S1;447,3
1989;S2;447,3
1990;S1;462,4
1990;S2;462,4
1991;S1;477,2
1991;S2;477,2
1992;S1;488,8
1992;S2;488,8
1993;S1;498,9
1993;S2;498,9
1994;S1;507,3
1994;S2;507,3
1995;S1;516
1995;S2;516
1996;S1;526,2
1996;S2;526,2
1997;S1;532,7
1997;S2;532,7
1998;S1;536,4
1998;S2;536,4
1999;S1;534,8
1999;S2;539,6
2000;S1;542,3
2000;S2;547,7
2001;S1;548,2
2001;S2;558,9
2002;S1;560
2002;S2;566,4
2003;S1;570,7
2003;S2;573
2004;S1;573
2004;S2;578
2005;S1;578
2005;S2;579
2006;S1;579,5
2006;s2;579,5
2007;S1;580,7
2007;s2;580,7
2008;S1;578
2008;s2;579
2009;S1;579,5
2009;s2;579,5
2010;S1;578,5
2010;s2;579
2011;S1;579,26
2011;s2;580,6
2012;s1;581,3
